config,n_queries,mrr@5,mrr@5_lo,mrr@5_hi,mrr@10,mrr@10_lo,mrr@10_hi,p@5,p@5_lo,p@5_hi,p@10,p@10_lo,p@10_hi,hit@5,hit@5_lo,hit@5_hi,hit@10,hit@10_lo,hit@10_hi,ndcg@5,ndcg@5_lo,ndcg@5_hi,ndcg@10,ndcg@10_lo,ndcg@10_hi
A_BM25_only,40,0.9021,0.8062,0.975,0.9052,0.8156,0.9781,0.7,0.615,0.795,0.5875,0.4925,0.6825,0.95,0.875,1.0,0.975,0.925,1.0,0.7377,0.653,0.813,0.747,0.6701,0.8098
B_Dense_only,40,0.7333,0.6187,0.8521,0.7361,0.618,0.85,0.49,0.39,0.585,0.355,0.285,0.43,0.875,0.775,0.975,0.9,0.8,0.975,0.4865,0.3991,0.571,0.459,0.381,0.535
C_Hybrid_no_rerank,40,0.9092,0.8333,0.975,0.9092,0.825,0.9709,0.73,0.64,0.815,0.6175,0.5274,0.7101,0.975,0.925,1.0,0.975,0.925,1.0,0.774,0.6927,0.8542,0.7767,0.6982,0.842
D_Hybrid_rerank,40,0.7604,0.6437,0.875,0.7703,0.6539,0.885,0.5,0.41,0.585,0.42,0.3475,0.4925,0.875,0.775,0.975,0.95,0.875,1.0,0.4983,0.4039,0.5883,0.5197,0.4333,0.6036
